filename,species,individuals,num_sites,global_fst,zAC,zAR,zGD,zACse,zARse,zGDse,class,uid,family,genus,order,mass_g,range_area_km2,mean_HR_km2,log_mass,log_range,log_HR,area_km2,log_area
Heppenheimer_Canis_latrans.str,Canis_latrans,303,41,0.0236,0.0967987615080451,0.006508131395536,0.00235148058614461,0.00323157439048332,0.000870588544632878,0.000374354030442241,mammal,9614,Canidae,Canis,Carnivora,11989.1,14921849.1822137,62.9160599022473,4.07878658262311,7.17382264618411,1.7987615172524,1685493.57258525,6.22672710073354
Hulva_Rousettus_aegyptiacus.str,Rousettus_aegyptiacus,490,34,0.0705,0.111748399359256,0.0217097706769159,0.0125471755543629,0.00695699688490238,0.00327840460942997,0.00163047465988045,mammal,9407,Pteropodidae,Rousettus,Chiroptera,134,4071413.31144199,5.16,2.12710479836481,6.60974519222644,0.712649701627211,6167317.18122503,6.79009628449141
Johnson_Myotis_septentrionalis.str,Myotis_septentrionalis,896,15,0.0032,0.123799830240223,0.0242080589116891,0.00091833145644192,0.0104172842827976,0.00419566557019096,0.000335317035779621,mammal,258941,Vespertilionidae,Myotis,Chiroptera,7.5,4946390.3833065,0.690754545454545,0.8750612633917,6.69428838914322,-0.160676248562256,50512.8891298893,4.70340220908422
Koen_Martes_americana.str,Martes_americana,653,29,0.0217,0.0480723102745251,0.00982048212061159,0.00523426409707155,0.00293490364334334,0.00119176145694255,0.000816986691893024,mammal,9660,Mustelidae,Martes,Carnivora,873.69,7637867.1692556,4.36217391304348,2.94135736493269,6.88297210125373,0.639702976228805,716298.914361021,5.85509429293249
Lagerholm_Lemmus_lemmus.str,Lemmus_lemmus,276,13,0.0304,0.102103124511079,0.0138155056078558,0.00784162434667007,0.00926485072494329,0.00307701971496421,0.00184917910074752,mammal,79949,Cricetidae,Lemmus,Rodentia,67.62,758090.789543697,0.0086053488372093,1.83007516642975,5.87972122019234,-2.06523151987397,1211076.1114665,6.08317143773529
Latch_Odocoileus_hemionus_2014.str,Odocoileus_hemionus,1714,60,0.1173,0.146166725979462,0.0325060900860157,0.0258305790648995,0.00543120645378029,0.00372824022498919,0.00403797348916509,mammal,9872,Cervidae,Odocoileus,Artiodactyla,84560.57,6340068.20450533,20.1000028560801,4.92716790177123,6.80209392991343,1.30319611913092,14536398.3638346,7.16245681611922
Mager_Rangifer_tarandus.str,Rangifer_tarandus,634,18,0.0319,0.0701745066417257,0.00785277721795255,0.00329190368413309,0.00798651113023555,0.00251013691217692,0.00113108504477591,mammal,9870,Cervidae,Rangifer,Artiodactyla,109088.5,18660780.3197714,426.5,5.03777897011369,7.27092980026178,2.62991903550354,1644511.9655863,6.21603703778778
Marrotte_Lynx_canadensis.str,Lynx_canadensis,702,28,0.0097,0.0588902786599816,0.00530190293591882,0.00210244766778142,0.00208958582874775,0.000678882755565838,0.000359642927121578,mammal,61383,Felidae,Lynx,Carnivora,9682.82,8075503.3302804,63.3378048780488,3.98600185855642,6.90716960056982,1.8016630077907,568587.12043047,5.75479701787759
Mattucci_Felis_silvestris.str,Felis_silvestris,620,15,0.0841,0.158359035821256,0.0371600213091691,0.0174953578074246,0.0117487354142196,0.00403901787034022,0.00226669532013374,mammal,9683,Felidae,Felis,Carnivora,4573.08,1423738.9987359,14.7266776315789,3.66020879885601,6.15343038129664,1.16810478017468,4370892.54450445,6.64057012977897
Niedzialkowska_Alces_alces.str,Alces_alces,694,16,0.0429,0.143429695104465,0.0255748862081579,0.010121745626081,0.0104148043599381,0.0044620674234556,0.0020291333416379,mammal,9852,Cervidae,Alces,Artiodactyla,461900.76,23096272.6296082,40.4926160337553,5.66454867682445,7.36354189733766,1.60737583535877,4332328.9870306,6.63672142852276
